filename;p1;p2
InterpolationAccelerometerKubaDownstairs3Apple.csv;3,4;75
InterpolationAccelerometerKubaDownstairs2Apple.csv;4;69
InterpolationAccelerometerKubaSquatsApple.csv;3,8;124
InterpolationAccelerometerKubaSittingApple.csv;4,8;332
InterpolationAccelerometerKubaSquats2Apple.csv;7,6;132,3
InterpolationAccelerometerKubaSquats3Apple.csv;3,9;126,1
InterpolationAccelerometerKubaStanding2Apple.csv;3,2;127,6
InterpolationAccelerometerKubaStanding3Apple.csv;5;125
InterpolationAccelerometerKubaWalking2Apple.csv;4,6;579,6
InterpolationAccelerometerKubaDownstairsApple.csv;10,4;71,5
InterpolationAccelerometerKubaSitting2Apple.csv;4,7;295,3
InterpolationAccelerometerKubaUpstairsApple.csv;3,3;67
InterpolationAccelerometerKubaWalkingApple.csv;3,5;340,2
InterpolationAccelerometerKubaStandingApple.csv;3,3;124,5
InterpolationAccelerometerKubaUpstairs2Apple.csv;3,3;81,6
InterpolationAccelerometerKubaLying3Apple.csv;8,6;233,5
InterpolationAccelerometerKubaLying2Apple.csv;4;96,2
InterpolationAccelerometerKubaLyingApple.csv;5;164,1
InterpolationAccelerometerKasperDownstairsApple;0,5;85,8
InterpolationAccelerometerKasperSittingApple;15,2;223,1
InterpolationAccelerometerKasperStandingApple;8,8;166,7
InterpolationAccelerometerKasperUpstairsApple;3,3;95,9
InterpolationAccelerometerKasperWalkingApple;3,4;219,6
InterpolationAccelerometerUserOrientationDownstairs2Apple;1,6;40,4
InterpolationAccelerometerUserOrientationDownstairs3Apple;0,3;38,8
InterpolationAccelerometerUserOrientationDownstairsApple;1,8;36,6
InterpolationAccelerometerUserOrientationJogging2Apple;3,8;56
InterpolationAccelerometerUserOrientationJogging3Apple;3;383,§
InterpolationAccelerometerUserOrientationLying2Apple;33,3;109,4
InterpolationAccelerometerUserOrientationLying3Apple;5;185,9
InterpolationAccelerometerUserOrientationLyingApple;7;122
InterpolationAccelerometerUserOrientationSitting2Apple;5,9;130,9
InterpolationAccelerometerUserOrientationSitting3Apple;16,7;241,2
InterpolationAccelerometerUserOrientationSitting4Apple;9,4;155,7
InterpolationAccelerometerUserOrientationSittingApple;18,7;409,4
InterpolationAccelerometerUserOrientationSquats2Apple;1,7;21,1
InterpolationAccelerometerUserOrientationSquats3Apple;2,2;20,1
InterpolationAccelerometerUserOrientationSquatsApple;2;21,5
InterpolationAccelerometerUserOrientationStanding2Apple;5,3;26,9
InterpolationAccelerometerUserOrientationUpstairs2Apple;2,3;67,2
InterpolationAccelerometerUserOrientationUpstairs3Apple;1,7;36,1
InterpolationAccelerometerUserOrientationUpstairsApple;3,1;35,6
InterpolationAccelerometerUserOrientationWalking2Apple;7,7;817,3
InterpolationAccelerometerUserOrientationWalkingApple;6,9;698,1
1;;
